Job Posting ID,Job Title,Category,Company Name,Location,Lat,Lng
1312805093,Physician: Family Physician Job Opening in Upstate New York | JOB-2360999,Healthcare & Nursing Jobs,CompHealth,"Clayton, Jefferson County",44.239490999999994,-76.085776
1312805901,Physician: Urology Need in Western Ohio with Large Sign-On | JOB-2359187,Healthcare & Nursing Jobs,CompHealth,"Ohio, US",40.305232000000004,-82.82478499999999
1328241931,"Physician: Internal Medicine Physician Job in Cheshire, Connecticut | JOB-2538859",Healthcare & Nursing Jobs,CompHealth,"Cheshire, New Haven County",41.508367,-72.91062
1334502463,Physician: A Locums Otolaryngologist Is Wanted in IL | JOB-2604839,Healthcare & Nursing Jobs,CompHealth,"Marion, Williamson County",37.730605,-88.933126
1312805719,"Physician: Hospitalist needed in Hartford, CT suburbs | JOB-2557980",Healthcare & Nursing Jobs,CompHealth,"Connecticut, US",41.601859000000005,-72.65731600000001
1312804920,"Physician: Outpatient Primary Care Physician Needed in Middlebury, Vermont | JOB-2550507",Healthcare & Nursing Jobs,CompHealth,"Middlebury, Addison County",44.022931,-73.145015
1312805115,Physician: Outpatient Family or Internal Medicine Physician Needed for San Diego CA Area | JOB-2493870,Healthcare & Nursing Jobs,CompHealth,"Vista, San Diego County",33.160641999999996,-117.238216
1312805866,Physician: Family Medicine with OB Near Indianapolis IN with 4 Day Work Week | JOB-2502099,Healthcare & Nursing Jobs,CompHealth,"Indiana, Indiana County",40.621455,-79.152535
1312805455,Physician: Family Medicine Physician Job Opening in Great Falls MT | JOB-2439305,Healthcare & Nursing Jobs,CompHealth,"Great Falls, Cascade County",47.515458,-111.28035700000001
1312805819,"Physician: Pediatrician- 100% Outpatient, Live in Northern Ohio on the Water | JOB-2386617",Healthcare & Nursing Jobs,CompHealth,"Ohio, US",40.305232000000004,-82.82478499999999
1312805017,"Physician: Pediatrician Wanted for Minnesota Lake Country, 1:10 Call, and a Close Drive to Fargo | JOB-2496092",Healthcare & Nursing Jobs,CompHealth,"Detroit Lakes, Becker County",46.817181,-95.845325
1312805706,Physician: Internist or Family Practitioner Needed for Adult Medical Center in Massachusetts | JOB-2457347,Healthcare & Nursing Jobs,CompHealth,"Monson, Hampden County",42.104245,-72.318952
1312805309,"Physician: Outpatient Primary Care in Ski Country, VT | JOB-2360280",Healthcare & Nursing Jobs,CompHealth,"Rutland, Rutland County",43.639036,-72.922874
1329108966,"Physician: Primary Care Physician Opportunity in South Carolina, NHSC Site | JOB-2609987",Healthcare & Nursing Jobs,CompHealth,"Florence, Florence County",34.213396,-79.820616
1312809651,Physician: An Orthopedic Surgeon Is Required for Temporary Assistance in IL | JOB-2576957,Healthcare & Nursing Jobs,CompHealth,"Illinois, US",39.863792,-89.15483
1312805050,Physician: Dermatologist Needed in New York | JOB-2602504,Healthcare & Nursing Jobs,CompHealth,"White Plains, Westchester County",41.032294,-73.768378
