city,state,lat,lng
Vashon,Washington,47.4480496,-122.4606702
Vernonia,Oregon,45.8587229,-123.1928926
Virginia Beach,Virginia,36.7953025,-76.0509251
Visalia,California,36.3302284,-119.2920585
Vista,California,33.2000368,-117.2425355
Wailuku,Hawaii,20.8905443,-156.503093
Walkersville,Maryland,39.4862126,-77.3519285
Waltham,Massachusetts,42.3756401,-71.2358004
Warren,Oregon,43.5575659,-74.1204119
Washington,Pennsylvania,40.1943798,-80.2541251
Watertown,New York,43.9747838,-75.9107565
Watertown,Wisconsin,43.1948481,-88.7286352
West Chicago,Illinois,41.8847507,-88.2039607
West Columbia,South Carolina,33.9934867,-81.0739826
West Linn,Oregon,45.3656761,-122.6123141
West Windsor Township,New Jersey,40.296321,-74.6262131
Westminster,Colorado,39.8366528,-105.0372046
Westwood,Massachusetts,42.2139873,-71.2244987
Westwood,Kentucky,38.2800702,-85.5827385
White Plains,New York,41.0339862,-73.7629097
Winchester,Massachusetts,42.4523178,-71.1369982
Winter Haven,Florida,28.0222435,-81.7328568
Wisconsin Rapids,Wisconsin,44.3917589,-89.8228767
Woodbridge Township,New Jersey,40.5498525,-74.2874186
Woodinville,Washington,47.7545827,-122.1588902
Woodland Park,Colorado,38.9938016,-105.0570457
Worcester,Massachusetts,42.2625932,-71.8022934
Worthington,Ohio,40.0930945,-83.0179593
Wyoming,Delaware,39.1181681,-75.5588139
Wytheville,Virginia,36.9479966,-81.0869747
Yacolt,Washington,45.8655044,-122.4070314
Yamhill,Oregon,45.2298399,-123.2180414
