job posting id,job title,date created,category,company name,city,state,country,lat,lng,latlng
1312805093,Physician: Family Physician Job Opening in Upstate New York | JOB-2360999,2019-10-25 12:38:41,Healthcare & Nursing Jobs,CompHealth,Clayton,New York,United States,44.239491,-76.085776,"44.239490999999994,-76.085776"
1312805901,Physician: Urology Need in Western Ohio with Large Sign-On | JOB-2359187,2019-10-25 12:38:57,Healthcare & Nursing Jobs,CompHealth,Sunbury,Ohio,United States,40.305232,-82.82478499999998,"40.305232000000004,-82.82478499999998"
1328241931,"Physician: Internal Medicine Physician Job in Cheshire, Connecticut | JOB-2538859",2019-11-06 20:28:13,Healthcare & Nursing Jobs,CompHealth,Cheshire,Connecticut,United States,41.508367,-72.91062,"41.508367,-72.91062"
1334502463,Physician: A Locums Otolaryngologist Is Wanted in IL | JOB-2604839,2019-11-11 22:10:17,Healthcare & Nursing Jobs,CompHealth,Marion,Illinois,United States,37.730605,-88.933126,"37.730605,-88.933126"
1312805719,"Physician: Hospitalist needed in Hartford, CT suburbs | JOB-2557980",2019-10-25 12:38:53,Healthcare & Nursing Jobs,CompHealth,Cromwell,Connecticut,United States,41.60185900000001,-72.65731600000002,"41.60185900000001,-72.65731600000002"
1312804920,"Physician: Outpatient Primary Care Physician Needed in Middlebury, Vermont | JOB-2550507",2019-10-25 12:38:31,Healthcare & Nursing Jobs,CompHealth,Middlebury,Vermont,United States,44.022931,-73.145015,"44.022931,-73.145015"
1312805115,Physician: Outpatient Family or Internal Medicine Physician Needed for San Diego CA Area | JOB-2493870,2019-10-25 12:38:42,Healthcare & Nursing Jobs,CompHealth,Vista,California,United States,33.160642,-117.238216,"33.160641999999996,-117.238216"
1312805866,Physician: Family Medicine with OB Near Indianapolis IN with 4 Day Work Week | JOB-2502099,2019-10-25 12:38:56,Healthcare & Nursing Jobs,CompHealth,Indiana,Pennsylvania,United States,40.621455,-79.152535,"40.621455,-79.152535"
1312805455,Physician: Family Medicine Physician Job Opening in Great Falls MT | JOB-2439305,2019-10-25 12:38:49,Healthcare & Nursing Jobs,CompHealth,Great Falls,Montana,United States,47.515458,-111.280357,"47.515458,-111.28035700000001"
1312805819,"Physician: Pediatrician- 100% Outpatient, Live in Northern Ohio on the Water | JOB-2386617",2019-10-25 12:38:55,Healthcare & Nursing Jobs,CompHealth,Sunbury,Ohio,United States,40.305232,-82.82478499999998,"40.305232000000004,-82.82478499999998"
1312805017,"Physician: Pediatrician Wanted for Minnesota Lake Country, 1:10 Call, and a Close Drive to Fargo | JOB-2496092",2019-10-25 12:38:39,Healthcare & Nursing Jobs,CompHealth,Detroit Lakes,Minnesota,United States,46.817181,-95.845325,"46.817181,-95.845325"
1312805706,Physician: Internist or Family Practitioner Needed for Adult Medical Center in Massachusetts | JOB-2457347,2019-10-25 12:38:53,Healthcare & Nursing Jobs,CompHealth,Monson,Massachusetts,United States,42.104245,-72.318952,"42.104245,-72.318952"
1312805309,"Physician: Outpatient Primary Care in Ski Country, VT | JOB-2360280",2019-10-25 12:38:46,Healthcare & Nursing Jobs,CompHealth,Mendon,Vermont,United States,43.639036,-72.922874,"43.639036,-72.922874"
1329108966,"Physician: Primary Care Physician Opportunity in South Carolina, NHSC Site | JOB-2609987",2019-11-07 08:49:46,Healthcare & Nursing Jobs,CompHealth,Florence,South Carolina,United States,34.213396,-79.820616,"34.213396,-79.820616"
1312809651,Physician: An Orthopedic Surgeon Is Required for Temporary Assistance in IL | JOB-2576957,2019-10-25 12:40:21,Healthcare & Nursing Jobs,CompHealth,Niantic,Illinois,United States,39.863792,-89.15483,"39.863792,-89.15483"
1312805050,Physician: Dermatologist Needed in New York | JOB-2602504,2019-10-25 12:38:40,Healthcare & Nursing Jobs,CompHealth,White Plains,New York,United States,41.032294,-73.768378,"41.032294,-73.768378"
1339395641,Physician: Locums Geriatric Medicine Physician Needed in Illinois | JOB-2611604,2019-11-15 06:42:06,Healthcare & Nursing Jobs,CompHealth,Rockford,Illinois,United States,42.331667,-89.15154799999998,"42.331666999999996,-89.15154799999998"
1312805183,Physician: Internal Medicine Physician Job in North Carolina | JOB-2442170,2019-10-25 12:38:44,Healthcare & Nursing Jobs,CompHealth,High Point,North Carolina,United States,35.962318,-79.97522099999998,"35.962317999999996,-79.97522099999998"
1312805178,"Physician: Inpatient Psychiatry Physician Opening in Phoenix, AZ | JOB-2570737",2019-10-25 12:38:43,Healthcare & Nursing Jobs,CompHealth,Phoenix,Arizona,United States,33.45,-112.07,"33.45,-112.07"
1312805829,Physician: Family Practice Physician with Obstetrics Position in North Carolina | JOB-2358311,2019-10-25 12:38:55,Healthcare & Nursing Jobs,CompHealth,Jefferson,North Carolina,United States,36.420403,-81.473438,"36.420403,-81.473438"
1330173791,Physician: Locums Position in AR for Critical Care Physician | JOB-2609309,2019-11-08 03:07:08,Healthcare & Nursing Jobs,CompHealth,Fort Smith,Arkansas,United States,35.370461,-94.413065,"35.370461,-94.413065"
1312804812,Physician: A New Practice in New Jersey Needs an FM Physician | JOB-2601581,2019-10-25 12:38:23,Healthcare & Nursing Jobs,CompHealth,Rutherford,New Jersey,United States,40.824806,-74.109314,"40.824806,-74.109314"
1312805946,Physician: Family Practice Physician with OB Job in Missouri | JOB-2377332,2019-10-25 12:38:58,Healthcare & Nursing Jobs,CompHealth,Memphis,Missouri,United States,40.457812,-92.171292,"40.457812,-92.17129200000001"
1312805694,Physician: Chief of Geriatrics Needed in North/Central New Jersey | JOB-2560536,2019-10-25 12:38:53,Healthcare & Nursing Jobs,CompHealth,West Windsor Township,New Jersey,United States,40.288232,-74.617769,"40.288232,-74.617769"
1312806165,Physician: Hospitalist- Mostly Days - New York's Hudson Valley | JOB-2350543,2019-10-25 12:39:02,Healthcare & Nursing Jobs,CompHealth,Norwich,New York,United States,42.522869,-75.57467700000002,"42.522869,-75.57467700000002"
1312805291,Physician: Hospitalist Need in Virginia | JOB-2604408,2019-10-25 12:38:46,Healthcare & Nursing Jobs,CompHealth,Richmond,Virginia,United States,37.56,-77.45,"37.56,-77.45"
1312808803,Physician: Temporary Internal/Family Medicine Physician Is Wanted in CA | JOB-2544149,2019-10-25 12:39:59,Healthcare & Nursing Jobs,CompHealth,Modesto,California,United States,37.669746,-120.999103,"37.669746,-120.999103"
1312806022,"Physician: General Surgery Need an Hour From Lexington, Kentucky | JOB-2603038",2019-10-25 12:38:59,Healthcare & Nursing Jobs,CompHealth,Lebanon,Kentucky,United States,37.610182,-85.163472,"37.610182,-85.163472"
1328241841,Physician: Inpatient and Outpatient Adult Psychiatrist Opportunity in Connecticut | JOB-2496197,2019-11-06 20:28:08,Healthcare & Nursing Jobs,CompHealth,Cromwell,Connecticut,United States,41.60185900000001,-72.65731600000002,"41.60185900000001,-72.65731600000002"
1312805970,Physician: FM Physician For Faculty Position in Northeast Pennsylvania | JOB-2348674,2019-10-25 12:38:58,Healthcare & Nursing Jobs,CompHealth,Scranton,Pennsylvania,United States,41.410849,-75.665902,"41.410849,-75.665902"
1312804951,"Physician: Pediatrics, Physician in Charge, Metro Delaware | JOB-2558257",2019-10-25 12:38:34,Healthcare & Nursing Jobs,CompHealth,Newark,Delaware,United States,39.620378,-75.748778,"39.620378,-75.748778"
1312806540,Physician: Hematologist Oncologist Needed in New Mexico | JOB-2353614,2019-10-25 12:39:11,Healthcare & Nursing Jobs,CompHealth,Mexico,New York,United States,43.459514,-76.228818,"43.459514,-76.228818"
1312805138,Physician: Urologist Needed in West Tennessee | JOB-2440753,2019-10-25 12:38:43,Healthcare & Nursing Jobs,CompHealth,Jackson,Tennessee,United States,35.58754000000001,-88.859124,"35.58754000000001,-88.859124"
1312809294,Physician: A Locums General Surgeon Is Wanted in Arizona | JOB-2608293,2019-10-25 12:40:13,Healthcare & Nursing Jobs,CompHealth,Chinle,Arizona,United States,36.154448,-109.552607,"36.154447999999995,-109.55260700000001"
1312805280,Physician: Primary Care Physician Needed in Pennsylvania | JOB-2605604,2019-10-25 12:38:46,Healthcare & Nursing Jobs,CompHealth,Spring Mills,Pennsylvania,United States,40.81926,-77.565308,"40.81926,-77.565308"
1329514882,Physician: Outpatient Staff Psychiatrist Needed in Salt Lake City Proper | JOB-2547048,2019-11-07 14:23:22,Healthcare & Nursing Jobs,CompHealth,Salt Lake City,Utah,United States,40.756393,-111.898592,"40.756393,-111.898592"
1329515595,Physician: Locums Position in Iowa for Hospitalist | JOB-2609645,2019-11-07 14:24:24,Healthcare & Nursing Jobs,CompHealth,Coralville,Iowa,United States,41.699923,-91.588697,"41.699923,-91.588697"
1334502280,Physician: Locums EM Physician Needed in North Dakota | JOB-2610800,2019-11-11 22:10:16,Healthcare & Nursing Jobs,CompHealth,Dickinson,North Dakota,United States,46.879176,-102.789624,"46.879176,-102.789624"
1312805032,Physician: Family Practice Physician or Internist Needed in Southeast Connecticut | JOB-2473856,2019-10-25 12:38:39,Healthcare & Nursing Jobs,CompHealth,East Lyme,Connecticut,United States,41.325376,-72.193134,"41.325376,-72.193134"
1328242682,Physician: Family Medicine Physician Is Needed for Locum Tenens Assistance in Utah | JOB-2581298,2019-11-06 20:29:52,Healthcare & Nursing Jobs,CompHealth,Fountain Green,Utah,United States,39.605313,-111.627399,"39.605313,-111.627399"
1316384770,Physician: Locums Job in NC for Critical Care Physician | JOB-2608864,2019-10-29 06:48:38,Healthcare & Nursing Jobs,CompHealth,Charlotte,North Carolina,United States,35.232678,-80.846082,"35.232678,-80.846082"
1312805864,Physician: Earn Top Dollar in Southern CA Urgent Care Center | JOB-2353548,2019-10-25 12:38:56,Healthcare & Nursing Jobs,CompHealth,Redlands,California,United States,34.055569,-117.182538,"34.055569,-117.182538"
1318517742,Physician: Otolaryngology Locums Job in Pennsylvania | JOB-2517665,2019-10-30 22:14:13,Healthcare & Nursing Jobs,CompHealth,Somerset,Pennsylvania,United States,40.008411,-79.07808299999998,"40.008410999999995,-79.07808299999998"
1312805858,Physician: Child/Adolescent Psychiatrist Needed in CA with Unlimited Income Potential | JOB-2546029,2019-10-25 12:38:56,Healthcare & Nursing Jobs,CompHealth,Farmington,California,United States,37.928543,-120.943179,"37.928543,-120.943179"
1334494962,Physician: Thoracic Surgeon Needed at Hospital in Tennessee | JOB-2610543,2019-11-11 22:08:47,Healthcare & Nursing Jobs,CompHealth,Knoxville,Tennessee,United States,35.96050800000001,-83.919508,"35.96050800000001,-83.919508"
1312806413,Physician: Coastal Delaware Facility needs a Family Medicine Physician | JOB-2387766,2019-10-25 12:39:08,Healthcare & Nursing Jobs,CompHealth,Delaware,Ohio,United States,40.298672,-83.067965,"40.298671999999996,-83.067965"
1312806356,Physician: Acute Pain and Regional Anesthesiologist for Upstate NY with Great Compensation | JOB-2346476,2019-10-25 12:39:06,Healthcare & Nursing Jobs,CompHealth,Norwich,New York,United States,42.522869,-75.57467700000002,"42.522869,-75.57467700000002"
1328242553,"Physician: Manitowoc, WI Facility Seeks Hospitalist | JOB-2544825",2019-11-06 20:29:33,Healthcare & Nursing Jobs,CompHealth,Wisconsin Rapids,Wisconsin,United States,44.391021,-89.77308000000002,"44.391021,-89.77308000000002"
1312805958,"Physician: URO/GYN Opportunity Close to Los Angeles, California | JOB-2495659",2019-10-25 12:38:58,Healthcare & Nursing Jobs,CompHealth,Farmington,California,United States,37.928543,-120.943179,"37.928543,-120.943179"
1312805540,Physician: Internal Medicine Physician Opening in Central Washington | JOB-2445855,2019-10-25 12:38:50,Healthcare & Nursing Jobs,CompHealth,Omak,Washington,United States,48.410985,-119.527551,"48.410985,-119.527551"
